source,model,parameter,Conventions,load_function,plot_color,plot_linestyle,plot_marker,paths
CCMI-1,U-LAQUILA_CCM-senC2rcp45,tco3_zm,CF-1.4,ccmi,sienna,dashed,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/U-LAQUILA/ULAQ-CCM/senC2rcp45/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,U-LAQUILA_CCM-senC2rcp85,tco3_zm,CF-1.4,ccmi,sienna,dashed,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/U-LAQUILA/ULAQ-CCM/senC2rcp85/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,U-LAQUILA_CCM-senC2SlrTrnd,tco3_zm,CF-1.4,ccmi,sienna,dashed,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/U-LAQUILA/ULAQ-CCM/senC2SlrTrnd/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,U-LEEDS_UMSLIMCAT-refC2,tco3_zm,CF-1.4,ccmi,lime,solid,*,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/U-LEEDS/UMSLIMCAT/refC2/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,U-LEEDS_UMSLIMCAT-senC2fGHG,tco3_zm,CF-1.4,ccmi,lime,solid,*,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/U-LEEDS/UMSLIMCAT/senC2fGHG/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,U-LEEDS_UMSLIMCAT-senC2fODS,tco3_zm,CF-1.4,ccmi,lime,solid,*,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/U-LEEDS/UMSLIMCAT/senC2fODS/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,U-LEEDS_UMSLIMCAT-senC2fODS2000,tco3_zm,CF-1.4,ccmi,lime,solid,*,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/U-LEEDS/UMSLIMCAT/senC2fODS2000/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,U-LEEDS_UMSLIMCAT-senC2rcp45,tco3_zm,CF-1.4,ccmi,lime,solid,*,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/U-LEEDS/UMSLIMCAT/senC2rcp45/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,U-LEEDS_UMSLIMCAT-senC2rcp85,tco3_zm,CF-1.4,ccmi,lime,solid,*,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/U-LEEDS/UMSLIMCAT/senC2rcp85/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
ESACCI,DLR-merged-SAT-ozone,tco3_zm,CF-1.5,esacci,darkgreen,solid,s,Esacci/ozone/Total_Columns/L3/MERGED/ESACCI-OZONE-L3S-TC-MERGED-DLR_1M-????????-fv0100.nc
SBUV,GSFC_merged-SAT-ozone,tco3_zm,NA,sbuv,black,solid,^,Sbuv/sbuv.v86.mod_v10.70-18.za.txt
