source,model,parameter,Conventions,load_function,plot_color,plot_linestyle,plot_marker,paths
CCMI-1,CESM1-WACCM_senC2ch4rcp85_r1i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2ch4rcp85_r1i1p1_200001-209912.nc
CCMI-1,CESM1-WACCM_senC2fch41960_r1i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2fch41960_r1i1p1_196001-209912.nc
CCMI-1,CESM1-WACCM_senC2femis_r1i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2femis_r1i1p1_196001-209912.nc
CCMI-1,CESM1-WACCM_senC2fghg1960_r1i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2fghg1960_r1i1p1_196001-209912.nc
CCMI-1,CESM1-WACCM_senC2fghg1960_r2i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2fghg1960_r2i1p1_196001-209912.nc
CCMI-1,CESM1-WACCM_senC2fghg1960_r3i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2fghg1960_r3i1p1_196001-209912.nc
CCMI-1,CESM1-WACCM_senC2fn2o1960_r1i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2fn2o1960_r1i1p1_196001-209912.nc
CCMI-1,CESM1-WACCM_senC2fods1960_r1i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2fods1960_r1i1p1_196001-209912.nc
CCMI-1,CESM1-WACCM_senC2fods1960_r2i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2fods1960_r2i1p1_196001-209912.nc
CCMI-1,CESM1-WACCM_senC2fods1960_r3i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2fods1960_r3i1p1_196001-209912.nc
